super,improve
Couldn't be improved,Nothing all very good I am very grateful for their help
Environment/Facilities,Room is nice but too small for the group
Environment/Facilities,To have bed linen changed without prompting
Environment/Facilities,More facilities 
Environment/Facilities,It would be difficult but more car parking spaces would be helpful
Care/ Treatment,I ask for little but am to join the cull of stable non crisis patients from NHS
Staff/Staff Attitude,Employ 2 diffenent Psychiatrists The ones on ythe ward were far too busy to exchange even pleasantries for example hello how are you feeling today is there anything we can do to make your stay any more enjoyable they never had any time to converse with me
Access to Services,More accssessibility to the treatment
Access to Services,Simpler more transparent access to services
Care/ Treatment,Take us out for meals
Couldn't be improved,Nothing
Couldn't be improved,I think they do an excellent job all round
Couldn't be improved,Nothing at all
Environment/Facilities,I find the place rather depressing The service would be better if the interviews were conducted in a bright environment
Care/ Treatment,I have found that I was left sort of alone after initial appointments and havent got the care I needed
Couldn't be improved,Nothing everything was excellent
Communication,Communication could have been better  Crisis team and Man Road Mental Health Team didnt pass on things very good
Access to Services,Shorter waiting times
Access to Services,More courses
Staff/Staff Attitude,More staff I had to wait a long time to see a CPN from secondary Our sessions often got interrupted on the wing there isnt a proper room for mental heath
Couldn't be improved,Couldnt because the service is first class
Couldn't be improved,Nothing  excellent and helpful visit
Care/ Treatment,Shorten the waiting times for appointments
Care/ Treatment,People have a lot of trouble getting to see the podiatrist  It is not made clear who can be seen
Communication,Up to date whats on guide available on website
Environment/Facilities,Supervised unisex lounge area  TV
Couldn't be improved,Nothing
Food,Drinks
Care/ Treatment,a emojas face and colour the face in and put the angry thought in
Access to Services,Visit me at home
Access to Services,Have sesisons more often 
Couldn't be improved,Nothing I think everything ok
Couldn't be improved,I have absolutley NO improvements to offer to the service They set exemplary model of making the hip ordeal acceptable
Environment/Facilities,Greater access to garden and gym
Access to Services,Discharged from hospital
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,To see doctor once a week
Couldn't be improved,Nothing
Access to Services,having more sessions
Couldn't be improved,No all care excellent
Access to Services,Time scales Both on the day feeling tense and stressed due to the nature of the issue and then having to wait long after the appointment time to actually see someone It just adds to the stress Overall the many months it has taken for anything to happen
Couldn't be improved,Nothing
Staff/Staff Attitude,More conversations with staff
Access to Services,Would be bertrer if the baby weigh in clinic was kept at Park House as easily accesable and on the bus route
Staff/Staff Attitude,come earlier so you can stay longer
Communication,Make it so that we can learn a bit more about what dmoking and drinking does if you do it at the same time
Couldn't be improved,Nothing
Access to Services,wait to long
Access to Services,To see the physio more frequently
Couldn't be improved,i dont think that anything could be done better
Access to Services,I would of liked a counsellor of the same beliefs as mine The first ever appointment where you go to see what treatment path to take is disappointing  I was put on a timer and told I had 20 mins to talk then at the end I was told I had OCD I was discusted at firstly being hurried through a dawting interview where they had my life in their hands which I had to trust I thought the outcome they made was correct however I felt like UnHuman being told I have a time limit and not much time and then at the end crash bang  you have OCD Please correct this form of counselling its wrong I think more time is needed
Couldn't be improved,Nothing
Couldn't be improved,None
Couldn't be improved,Cant think of anything
Staff/Staff Attitude,Nursing staff have too much paper work taking them away from patient care
Service Quality/Outcomes,It could be better 
Care/ Treatment,Professional rooms on wings to see nurses 
Safety,By not so aggressive MVA when they strip you 
Couldn't be improved,Nothing
Access to Services,Waiting time for test was lengthy but understand pressure on services so not really much service can do A National issue
Staff/Staff Attitude,More staff to help
Communication,when entering the centre  a buzzer is to be pushed however you do not know if the buzzer works as you can not hear it and no acknowledgement made until ready to go through
Staff/Staff Attitude,At least one doctor over the weekend and around on call at least on call when peoples dosages need amending
Staff/Staff Attitude,Put more stuff on Make mor of a community hb lots more activities
Staff/Staff Attitude,Pay them more
Couldn't be improved,Nothing
Access to Services,More regular baby groups 
Care/ Treatment,Master the recovery process Involve patient in their care rather than imposing care
Care/ Treatment,If you could come every day
Couldn't be improved,Nothing
Couldn't be improved,nothing 
Couldn't be improved,Nothing dont change anything
Care/ Treatment,More activities instead of just toys but its only week 2
Couldn't be improved,Not a lot
Environment/Facilities,There were a few hazards in the room like a sinkdesk with sharp edges
Care/ Treatment,more play groups please trips with play groups  happy to pay costs
Access to Services,The waiting time was really long 
Environment/Facilities,the area could be shoe free to make it cleaner
Care/ Treatment,More treatment maybe
Access to Services,Was told at my last visit to physhyatrist that I would be contacted to have some anxiety councelling but this has not happened
Staff/Staff Attitude,Maybe having an individual support worker obviously this would be costly However feel like having a supportive known individual would  be helpful
Couldn't be improved,Cannot improve anything 
Access to Services,Could do with more time unlikely to recommend the course
Environment/Facilities,The seating arrangement in reception is not very good There are no  or chairs to sit 9on your own when you dont like people near you
Access to Services,I have needed to see my GP for medication since my psychotherapy has been put on hold
Access to Services,They are not allowed to give out mobile numbers of staff in case I want to contact them
Environment/Facilities,To have a smoke room
Staff/Staff Attitude,To  receive 1 or 2 district nurses rather than a lot
Communication,More information passed to patientcarer
Staff/Staff Attitude,could have made it longer
Couldn't be improved, always been alright
Environment/Facilities,There is an excellent care and support system in place and I never feel I have no one to turn to but it would be nice to attend the clinic in a room with a window Not a criticism in any way the system is wonderful
Couldn't be improved,Nothing
Access to Services,An earlier call  I wake at 530 am
Care/ Treatment,Observe when there could be difficulties between students
Care/ Treatment,Allow more sessions
Staff/Staff Attitude,I feel unsupported at the self weigh sessions I would appreciate the opportunity to speak to someone regarding my childs weight at the session and not over the phone
Environment/Facilities,The waiting area
Couldn't be improved,Nothing everything was great
Access to Services,More courses for adults and children
Communication,Helping one to discuss treatment privately
Couldn't be improved,Nothing it was perfect
Care/ Treatment,Would like right leg to be dressed by the nurses instead of self care at home
Couldn't be improved,I couldnt find any problems on this visit
Couldn't be improved,All the nurses that have attended to my wife have been excellent so at this time no improvement is necessary
Couldn't be improved,Dont think that there is anything that could be done better 
Couldn't be improved,Everything is good
Access to Services,Perhaps consider a future where 36 monthly visits are done with patients to see how they are coping or have improved
Couldn't be improved,nothing
Staff/Staff Attitude,To have the same doc on different occasions so you can build up a rapor
Care/ Treatment,Even more groups for under 1s
Couldn't be improved,Nothing
Care/ Treatment,Not stop clinics on Saturdays  Keep us informed
Leave,More leave
Couldn't be improved,Nothing Excellent
Couldn't be improved,I couldnt think of anything to change we love coming every week 
Couldn't be improved,nothing 
Couldn't be improved,speak to us better to help us to get calm
Communication,The 0300 telephone number is very expensive  A normal 0115 number would be more acceptable
Care/ Treatment,At Under 1s they usually put a big pot of different textures such as shaving foam rice spaghetti Making the contents more safe 
Care/ Treatment,Longer times
Couldn't be improved,Im happy with everything
Couldn't be improved,nothing  very good time
Smoking,Smoke when want
Couldn't be improved,Cannot think of anything to improve 
Couldn't be improved,Nothing
Environment/Facilities,parking as always is a bit difficult no room for short stay but I suppose thats to be expected these days I was worried about my lift being able to deliver and collect me
Communication,Communication
Environment/Facilities,More seating available when waiting
Communication,Whatwho to contact in an emergency
Staff/Staff Attitude,Giving more time for physio to spend with patient and not just 2 visits only  Seems pointless to start the treatment and not be able to be followed thru by physio
Couldn't be improved,Nothing
Couldn't be improved,Am not sure any improvement could be made on the experience 
Couldn't be improved,Nothing better
Communication,More visits
Couldn't be improved,I thought it all went well
Couldn't be improved,Nothing
Communication,Presentation bu Bert was good however a lot of the time is spent on what symptoms you may have but dont rather than appropriate action to address stress regardless of which of many of potential symptoms you may suffer from  Presentation by female speaker was distracting due to presentation lack of technique
Access to Services,Allow more time on each course 
Couldn't be improved,Nothing really enjoyed the course 
Couldn't be improved,In my opinion nothing could be better
Care/ Treatment,Had no care just learning to slow down with age
Communication,Trying to telephone the surgery proved difficult either no answer for long periods or through to wrong place
Smoking,Smoke room open better food
Couldn't be improved,Nothing you could improve on
Access to Services,more early evening services
Couldn't be improved,Cannot think of anything
Couldn't be improved,Nothing
Staff/Staff Attitude,Having to give and show waiting rooms etc with disrespectful people waiting for medsappts HoweverI accept I am in prison
Couldn't be improved,Feel it would be difficult to do any better  Hope with the treatment I have received
Couldn't be improved,It was good nothing
Couldn't be improved,i dont think so
Couldn't be improved,Nothing  its excellent
Couldn't be improved,Nothing really good relaxed environment
Couldn't be improved,Nothing  very happy with the way I have been treated
Couldn't be improved,Nothing
Couldn't be improved,nothing
Couldn't be improved,Nothing already perfect
Environment/Facilities,more pushchairs
Communication,The 2nd time I got my jab the woman didnt talk to me
Couldn't be improved,Nothing
Access to Services,Make the course longer  Improve the waiting time that it takes to be seen  From putting in the appointment to actually being seen for appointment 
Access to Services,More C card sessions in school amd more drop in sessions
Staff/Staff Attitude,Same nurse
Communication,Always keeping us informed
Food,Refreshments
Communication,It would make things much easier if CPNs had work mobiles and gave the number to patients One of my CPNs cancelled a lot of appointments when pregnant and the message often was not passed on to me When I tried to call her I could only leave messages with reception
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Care/ Treatment,Weekly diary of things they have done as Dad has trouble remembering what he has been doing in group
Access to Services,To be seen quicker when illness starts Could save lots of appointments in the long and maybe even lives
Communication,Being able to speak directly to X if there was a problem
Staff/Staff Attitude,Psychiatrist should have been quicker to go outside of the area for advice re referral to gynecology sooner
Couldn't be improved,None
Communication,It would be really helpful if a phonecalltext could be made to me if my appointment is going to be running late as previously my husband has had to take time off work to attend our sons appointment that has been arranged for lunch time but previous appointments has run over by 1 and a half hours
Staff/Staff Attitude,we see different nurses each week  Each has their own opinion of how to prceed  We need to have consistent opionions
Staff/Staff Attitude,Continuity of nurses
Couldn't be improved,Nothing
Care/ Treatment,having more for 03 years in the holidays
Communication,Better info on sessions eg baby massage weaning etc
Couldn't be improved,no
Care/ Treatment,Timing
Couldn't be improved,Nothing 
Care/ Treatment,Invest more money for new 
Communication,Advertise it Make it better known 
Couldn't be improved,Not sure how they could do better
Access to Services,There always seems to be a long waiting list when having problems with mental health if I had broken my leg or something similarI would have been seen my someone always immediately why the lack of privacy to mental patients
Couldn't be improved,Nothing
Communication,More brief in convos
Communication,Working with GP
Couldn't be improved,Nothing really  more sessions more sessions in holidays
Communication,Give more support to mums who are struggling with breastfeeding and baby having weight gain issues eg  how to increase supply etc rather than advising to top up with formula
Care/ Treatment,To know morning or afternoon visit
Couldn't be improved,Nothing to improve at this point in time
Couldn't be improved,Nothing
Couldn't be improved,All good
Access to Services,More than the 6 sessions that are currently available Thank you very much for the ser vice you have given me I feel it has really helped me by talking about my problems
Care/ Treatment,Length of treatment on any visit Longer on any particular movement
Access to Services,To stop taking our help away from us
Couldn't be improved,Nothing
Service Quality/Outcomes,More support and better communication with outside agencys Ive been in HMP Ramby now for 8 months not seen anyone  Service not to good full of false promises  
Couldn't be improved,Nothing Timed appointment if possible
Access to Services,Do not discharge at a whim  I have been using podiatry biomechanics for the last several years receiving their care has helped my walking and therefore my whole walking is fit and well  If one cannot walk comfortably life is miserable I do not need to be seen often I do need to be seen regularly so I find out when I wanted to come next to avoid being castr off the patient register  Despite this I get arbitrarily discharged  grevious
Access to Services,I feel that 6 sessions is not enough
Couldn't be improved,Everything is really good
Care/ Treatment,Give us more to do
Couldn't be improved,Nothing
Staff/Staff Attitude,would prefer continuity of care having same nurse
Couldn't be improved,Nothing
Care/ Treatment,Increased internet access
Privacy and Dignity,Reduction of numbers of people involved and meetings at times of most stress  makes things worse
Couldn't be improved,1010 
Couldn't be improved,No change
Care/ Treatment,Continuous rehab
Couldn't be improved,Nothing
Communication,the Clinical Assistant was not able to answer my questions about what the ECG results meant That is the role of the GP I would have liked her opinion
Communication,Better ways to be able to contact health carer
Communication,Hand out feedback form after all treatment given not after 2nd visit
Couldn't be improved,Nothing
Access to Services,Health Visitor service limited No weigh in clinics No contact only for 2 year review
Communication,More time to talk within the group to people in the group
Communication,More information displayed about bottle feeding
Communication,Sometimes the communication between primary health  the ward is particularly bad results for tests or appointments We dont get to sit in on ward rounds only for feed back  Sometimes this could help I feel
Access to Services,Knowing it is still going to be there next year as at the present we have no idea
Communication,Being listened to and length of queue
Communication,It would be nice if the nurses spoke to more when the needle is going in and whats gonna happen
Environment/Facilities,Parking
Care/ Treatment,More activities to do more staff more group sessions  I dont feel like I have achieved much  Not much is told to me I am involved but only every 6 months  
Access to Services,Wait timeafter initial assessment and treatment reduce time taken One initial assessment before treatment not two More information regarding treatment offered and choice of treatment  
Couldn't be improved,NA The service was great
Communication,Make people more aware when a group come to an end and they need to reenroll
Communication,Knowing why you are being called up to healthcare before you get there
Communication,Xxxx could have more patient when talking to people  She assumes she knows all about a person simply because shes read a few papers  Stop assuming you know how people feel  why
Couldn't be improved,There is no improvement needed
Service Quality/Outcomes,The service that used to be provided was excellent however the facilities have diminished considerably
Couldn't be improved,nothing to be improved
Staff/Staff Attitude,more time to talk at visits
Couldn't be improved,Nothing I think the service and support was very good and helpful
Access to Services,Classes not as regular as could be
Care/ Treatment,45 min appoitment Allow dietitians to prescribe gluten free foods
Service Quality/Outcomes,Keep consistency There was too many different Freedom women and staff  didnt give us women who have built up the courage to flee a domestic DV relationship stability
Access to Services,Waiting time is very long
Access to Services,More ward rounds instead of every month every two weeks instead
Couldn't be improved,Couldnt ask for more
Care/ Treatment,To provide respite care so carers could have some time out
Couldn't be improved,NO
Access to Services,That it was based in Clifton I had to get the bus to QMC I didnt mind  some days but the days when I didnt feel too good it seemed a long way
Access to Services,Seeing us more often
Couldn't be improved,Nothing
Service Quality/Outcomes,to find out why my pain is not going
Couldn't be improved,Nothing
Staff/Staff Attitude,More staff time
Service Quality/Outcomes,To support you more
Food,Coffee  biscuits Cake  Smaller number in waiting room  
Access to Services,Access to appointments
Couldn't be improved,Nothing
Care/ Treatment,More courses to be made available
Couldn't be improved,Nothing you do a great job
Couldn't be improved,Nothing
Involvement,More input on how long you have to take and checkups on tablets  Not just the sound from everyone saying uh uh uh oh I keep talking and whos in charge of it
Couldn't be improved,Nothing
Couldn't be improved,No improvements required
Environment/Facilities,Get more scales I had my home visit cancelled and had to come into clinic to have my health visit as there were not enough scales
Communication,More people aware of support group at CC
Access to Services,More beds available Better communication between departments 
Staff/Staff Attitude,The doctor on perinatal very rude patronising etc to need to listen to patients not interupt people to tell them they are bad people makes you question yur life even more so than you did before your breakdown
Couldn't be improved,Nothing
Environment/Facilities,The physical appearance of the surgery is a bit grey and depressing Cotgrave
Communication,I had a problem which needed an appointment with the gum doctor but had to wait until the Saturday but I wasnt called off the wing so missed the appointment
Care/ Treatment,There has never been anyone I see when being sectioned
Communication,Access to more ways to notify family and friends where you are and if you havent got the number they should help you get them
Couldn't be improved,nothing
Environment/Facilities,Car parking Length of time given for appointments block book for 15 min periods
Couldn't be improved,I feel the team did the very best in the circumstance  My husband has long term depression over 4 years  i have tried  the team have tried to bring him out of it but to no avail
Service Quality/Outcomes,The service is a shambles They are only interested in keeping the number of people on their books down
Access to Services,Offer this service for more than 3 terms 
Involvement,More of a plan of future
Environment/Facilities,The wait outside
Couldn't be improved,To stay as it is for now
Food,Maybe offer a snack and beverage for parents
Care/ Treatment,More activities
Couldn't be improved,NA  Excellent service Entered feeling sceptical left as a believer
Couldn't be improved,Nothing
Couldn't be improved,I do not think there is anything to imrpove on
Couldn't be improved,No need for improvement
Safety,I am the patients wife and I am distressed that my husband went into ward B1 at Bassetlaw hospital on Christmas day with a gold cross and chain around his neck and never came out with it on This cross and chain is 50 years old and means a lot to my husband who is a practicing catholic someone knows where it is and I I want to know they have been asked but no one wants to know X X
Communication,completed last week
Couldn't be improved,nothing
Environment/Facilities,Some form of entertainment in reception
Communication,Keep me better infomred of where we are at with the wound
Couldn't be improved,None
Couldn't be improved,nothing
Food,Better food
Couldn't be improved,Nothing Lucie and Vickie supported me when first having my baby excellent support from both
Communication,A bit more communication between staff and patients Also doctors and patients Staff is always very busy and rarely have time doctors to stop and answer questions or you dont know what theyre talking about you People like me that have paranoia find it very difficult like me
Communication,Exit an arrow perhaps signs
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Spot on excellent
Couldn't be improved,nothing
Communication,Listen to patients more Address staff shortages Arrange more activitiesvocational packages 
Care/ Treatment,I would have liked to talk in more detail about my symptoms sometimes Obviously there was limited time Also there might not have been the knowledge and experience available at these times
Couldn't be improved,Nothing
Care/ Treatment,more groups for babies
Communication,More individual feedback
Access to Services,Sometimes my appointment did not start on time 
Couldn't be improved,Nothing
Communication,To have people who speak english clearly working overnight unlike X
Privacy and Dignity,To give me a chance and trust me I might be in a high secure environment but I am still human
Access to Services,To have more days available to weigh and talk about concerns  Once every fortnight is quite difficult to make
Environment/Facilities,At one of the weighing sessions there was only 1 scale it would be a lot easier to have more than 1
Communication,Communication  patients receiving information about themselves immediately  This would eliminate a lot of confusion and stress and make the staffpatient relationship much better
Couldn't be improved,Nothing
Communication,Only issue was receiving invite letter and reminder on the same day and the questioneer wasnt in the pack
Couldn't be improved,Nothing
Couldn't be improved,These is nothing that could improve the care The care I have received has been exemplary
Food,a lolly pop
Access to Services,To make sure if youve got mental health problems like myself you shouldnt have to wait over 3 months
Couldn't be improved,no 
Environment/Facilities,Have a larger car park  It is tressful trying to find a car parking space when you are due for an appointment and you cannot use the bus when you are having an operation
Care/ Treatment,Nurse to visit every day
Communication,More advertising 
Access to Services,Waiting time for first appointment
Couldn't be improved,not a thing very good service all round
Staff/Staff Attitude,Respect given
Couldn't be improved,Nothing to improve upon
Access to Services,would rather come to the hospice twice a week rather than once a week
Involvement,Info on website needs to be up to date and accurate I can cover this  Activities at least have some  Maybe consider days out to the park or other cheap alternative  Discuss Treatment plans with patients  make them aware they can with staff Have induction ceremony for new patients scrap xxx inspections perhaps introduce a buddy system  Better budget control necessary wastage of electricity water and food Install cooking facilities so clients can cook own meals  Talking therapies and therapeutic intervention invite other groups in apart from AA which is not everyones cup of tea  Improve on counter espionage perhaps set up an anti infiltration 
Communication,I am trying to contact the continence services to get pads to my elderly mother They have stopped coming and I have tried about 25 phone calls to get through to the right place  There was a website but it didnt seem up to date I was told the number on the web for the Community Hospital was defunct
Communication,Do I really have to answer these questions again
Couldn't be improved,None
Service Quality/Outcomes,Everything
Couldn't be improved,Ok
Care/ Treatment,Take away the people who smash things and frighten people They should be made to pay for the damage J has been very abrupt with me and very rude when I have been upset and vulnerable Doctors are not proactive enough especially about physical health
Couldn't be improved,Nothing to add
Access to Services,Being back in community Keeping people in community
Couldn't be improved,Nothing needs to change
Couldn't be improved,Nothing in particular
Environment/Facilities,A seat in the room itself
Care/ Treatment,if running late in the morning to call me to say so
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,Faster to receive care had to wait 15 weeks to see someone about a broken hand because they didnt have my file
Communication,you could explain more about it
Couldn't be improved,Everything excellent
Communication,That the doctors listened to the patients more and didnt have to go out and confirm prescriptions with nurses
Staff/Staff Attitude,I was very well supported with treatment and support and care for  I would say staff are short overworked with cut backs 
Communication,have a mobile number
Couldn't be improved,Nothing at all Very good service 
Staff/Staff Attitude,Available when needed
Couldn't be improved,I actually can honestly say there is nothing to change  I was 100 happy
Couldn't be improved,Nothing Really
Communication,Some of the nurses need to listen to both sides of the story and get to know their patients instead of sounding like a record player
Communication,To be able to book online
Staff/Staff Attitude,To have the doctor take you seriously and recognise when you are feeling suicidal and need help and not to just tell you to come back in 3 months time and to keep taking the pills when you say you want to die
Couldn't be improved,I cant think of anything
Couldn't be improved,Nothing  Excellent
Staff/Staff Attitude,teach some of your nurses that they dont always know best and some of your nurses need refersher course in dressings 75 good 25 need refersher courses
Couldn't be improved,Excellent service
Access to Services,Slight wait and patient got a bit restless
Couldn't be improved, Nothing  Excellent
Access to Services,Provide more afternoon playgroups Advertise more
Couldn't be improved,I feel that the care and consideration given to me since being diagnosed with heart problems could not have been better
Access to Services,I would like there to be more after care for those who have had difficult time in labour
Couldn't be improved,Nothing  all going well
Environment/Facilities,Give us a biscuit after
Service Quality/Outcomes,could be a lot more organised
Access to Services,Waiting lists 
Couldn't be improved,Nothing
Couldn't be improved,nothing  just hope more play groups come up
Staff/Staff Attitude,More support with breastfeeding  One to one help not just offers of local support group
Couldn't be improved,Nothing
Couldn't be improved,nothing
Care/ Treatment,This time the reception is much better than when we came last time  Calling or texting a reminder message would be helpful
Access to Services,More Parkinson Nurses in Bassetlaw
Communication,Would recommend to others Feels that carers need to be made more aware of what is available to them through LTW Room White room in NCVS basement is small claustrophobic and officey 
Communication,More advertisement about service offered 
Access to Services,Long term followup
Food,Refreshments
Access to Services,To follow up on the services they say they are going to provide  Turn up for appointments
Environment/Facilities,Better directional signage from Asda carpark
Food,Food  yuck
Access to Services,I am very disappointed at the length of time I have had to wait to receive counselling I am still waiting to hear Although the course has helped I still feel I need Counselling 
Couldn't be improved,not my normal doctors
Care/ Treatment,Perhaps be a little less formal  Ive asked a couple of staff  call me by my first name instead of Mr but they say they are not allowed to Could be some improvement in terms of information being published on wings  maybe a dedicated healthcare notice board on each residential unit Very please overall downgrade only because those on controlled meds have to show open mouth and raise tongue Find it humiliating demeaning and insulting Have tried to conceal sometimes just so I can take outside like a normal person
Couldn't be improved,No Change
Environment/Facilities,Small station to entertain older siblings
Access to Services,Quickist appointments
Service Quality/Outcomes,What care  Nothing but have the staff sitting in the office not even acknowledging a patients existence let alone engaging with them  Care consists of patients given disgusting chemical garbage to silence them  A42  absolute disgrace
Couldn't be improved,Nothing great service
Access to Services,Could do more appointments 
Staff/Staff Attitude,More Staff activities more consensus of treatment instead of doing nothing all day  Listening 
Couldn't be improved,Nothing really 
Environment/Facilities,Let me use library internet More leave
Staff/Staff Attitude,would be nice if I could talk to nurses without feeling I am delaying them
Couldn't be improved,Nothing on this visit
Access to Services,Very happy with all support received especially with breastfeeding supportand baby weighing at home in the early days and when weather was foul and I didnt want to go out with baby
Staff/Staff Attitude,Not change CPNs as this is not good for patients mental health  This unsettles the patient  I do not think that changing CPNs is not a good idea 
Environment/Facilities,Transport could be better
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Service Quality/Outcomes,Yes
Couldn't be improved,Cannot think of one thing The service received from all involved was as good as it gets
Couldn't be improved,nothing
Access to Services,That it was more often
Environment/Facilities,Longer room for the walking exercise so that the turn isnt so sharp Other than that everything else okay
Couldn't be improved,everything
Couldn't be improved,Nothing
Staff/Staff Attitude,More chances to talk about my problems with staff initiated by them when I first was sectioned as I could not ask myself A lot of the problem is that more demanding patients take more of staffs time and they only have so much time as they are very busy More time off ward when it is very disruptive would be welcome
Couldn't be improved,I dont think it can be improved as I find it an excellent service already
Communication,Direct phone number bookings
Involvement,Allowing rehab to be a decision made by the patient
Care/ Treatment,Booking times
Care/ Treatment,Getting your appointment times issued on the wing
Care/ Treatment,An accurate assessment is vital before medication is started Sometimes behaviour can be related to stress and circumstances but not necessarily to major illness If it is a minor set of symptoms then non drug therapies may suit a patient better especially if the patient categorically doesnt want drugs
Environment/Facilities,Would like to see more activities in the waiting area for children
Access to Services,More frequency of visits is key last time I could not get dressed more than once every 2 weeks
Couldn't be improved,No Concerns 
Access to Services,I am on a waiting list so perhaps more physio support may  help the team
Couldn't be improved,Wouldnt change anything
Couldn't be improved,Nothing
Couldn't be improved,Enjoyed the course alot Nothind could be better
Service Quality/Outcomes,Nothing Due to family circumstances I had to have both Newark and Kent Crisis Teams I found Newark to be excellent
Food,The food in the home corner is too small  Richard Herrod First Friends session
Couldn't be improved,Nothing
Couldn't be improved,Very happy with the service
Environment/Facilities,Better parking facilities
Safety,Sort out the bullying Recruit more staff 
Service Quality/Outcomes,Add Care
Environment/Facilities,Room
Couldn't be improved,Nothing
Couldn't be improved,Cant think of anything that they could improve
Access to Services,Longer hours
Couldn't be improved,Nothing
Access to Services,My psychiatrists secretary is difficult to get in contact with in between appointments with my psychiatrist and rarely phones back if I leave a message for her
Access to Services,hyave longer courses  if you miss an appt new to hospital appt etc you should be able to tag another one at the end
Access to Services,Miss baby clinics
Care/ Treatment,Some of the questions asked are I feel not right to ask over a call as the person youre asking is not face to face so you cant see how they are affected
Communication,Providing whats on in the local sure start centre
Environment/Facilities,Have more space for pushchairs
Couldn't be improved,Nothing  a good service
Care/ Treatment,Know what time visiting
Couldn't be improved,Nothing
Care/ Treatment,Getting supplies quicker
Communication,Social worker v poor communicating with us having little contact at times with no explanation until we asked when we had the opportunity to do so
Staff/Staff Attitude,writing unreadable
Access to Services,Out of hours or weekend
Care/ Treatment,Highcross Surgery Arnold repeatedly loose prescriptions cancel appointments without warning and are almost impossible to get through to I called 119 times last occasion to get through This has caused me side effects due to delays in getting my medication Despite first applying for my prescription at the earliest opportunity I have written to the surgery No response
Care/ Treatment,To improve in peer support and to have more support in stop smoking
Communication,More communication between the orthopaedic surgical team and Physios
Couldn't be improved,No not really
Access to Services,Visit more
Environment/Facilities,Provide more space  Showers are too hot  Improve air quality  Let people go home when they dont need to be here
Couldn't be improved,no need for improvement
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Safety,Safety of patients and staff on the wards
Access to Services,See the nurses more often
Access to Services,Have more availability on coursesmore staff
Couldn't be improved,Nothing
Care/ Treatment,A reminder in writing   1 or 2 weeks prior to appointment The phone call was good but not enough notice
Care/ Treatment,You could avoid keeping abducted staff nurses in your ward and forcing them to take medication You could adhere to NMC code of ethics and not threaten with depot if an abducted human exercises her rights You could learn that home is a safer place for a human than an institution  You could learn that going private means you have nothing to do with the NHS You could learn that if a private patient finds herself in an NHS institution AGAINST her will she has been abducted You could teach your nurses to address patients the way they want You could learn human rights and fairness You could treat an abducted staff nurse with dignity and respect You should treat your patients as individuals You should avoid using one liners against patients You could learn that not all sections are legal You could learn that ones husband knows his wife is healthy mentally and does not require hospitalisation or medication You could teach your staff not to threaten to take ones phone away You could teach your staff not to intimidate patients You could teach your staff to stop running about when nothing is happening You could teach your staff to know that home is safer for a home adult You could question the police when they bring patients in and ask to see the police report You could prove your innocence in my abduction into your ward
Couldn't be improved,Nothing really
Access to Services,Another hour more per session
Service Quality/Outcomes,More weighins at clinic rather than at Sure Start
Care/ Treatment,To be put on correct meds
Couldn't be improved,Nothing
Couldn't be improved,nothing
Couldn't be improved,excellent
Communication,That messages left on a answer machine are dealt with more efficiently to ensure the message is conveyed to the person concerned
Couldn't be improved,Nothing
Couldn't be improved,Everything was OK
Access to Services,Increase the time of the lessons a little bit more 
Access to Services,Get me the help sooner than later not let people like me slip through the net Give them the help they need to get through lifewouldnt let any of them especially who is the closest to them give himher help as well
Access to Services,Better after hours and weekend service  when things go wrong it is usually at the weekend of evenings and you really feel you need help instantly and someone to actually come out to see you
Couldn't be improved,Nothing
Couldn't be improved,Nothing   
Couldn't be improved,Nothing every angle was covered
Care/ Treatment,I was on metazapine a medication which prison dont want me on Mental health decided I needed treating They promised me if I came off and went on  it would make me better and if it didnt they would change them I changed meds and now they say I dont need treating even when Im complaining of them making me worse which they are all they wanted to do is take me off metazapine and not to help me I find this disgusting plus just lost son and watched my mother kill someone
Service Quality/Outcomes,I wasnt impressed with this service to be completely honest My phone call was due at 1115 and I wasnt rang til 1130 I then went through the questionnaire and explained how I was feeling etc When we got nearer the end of the conversation I was told that what I am currently going through is normal and I didnt really seem to need counselling so the lady said to me about a referral for stress management techniques At the end of the conversation I was fairly disheartened as all I really want is to be able to talk to someone who can understand what Im going through 5 minutes after my phone call I got an answer phone message from the lady I spoke to she explained she had spoken to her colleague who actually suggested that I would need counselling I was being referred on I felt I had been messed about in fact if she wasnt quite sure before ending the conversation she should of spoke to her colleague beforehand Thank You
Couldn't be improved,nothing
Couldn't be improved,Nothing
Care/ Treatment,For longer
Communication,Return telephone calls I appreciate however that the service is understaffed
Care/ Treatment,Give time of visit
Food,Salad and pitta more often More fruit
Access to Services,Closer to where I live
Couldn't be improved,Nothing
Access to Services,Felt as though you the service had forgotten me at first Would havve appreciate postcard or something to let me knnow I was still on waiting list  Q12 Extremely likely to recommend service to friend or family memberer
MHA,Send me home                                                                                                                                                                                                                                                   
Couldn't be improved,In fairness to my care and others I cannot comment
Care/ Treatment,Regular calls during the week as a check up
Environment/Facilities,Become a permanent facility
